1690000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=55 wr2=00 q1=00 q2=00 | rom=f0 tick=0 tx_state=000
1710000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=56 wr2=00 q1=00 q2=00 | rom=ee tick=0 tx_state=000
1730000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=57 wr2=00 q1=00 q2=00 | rom=ed tick=0 tx_state=000
1750000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=58 wr2=00 q1=00 q2=00 | rom=eb tick=1 tx_state=000
1770000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=59 wr2=00 q1=00 q2=00 | rom=ea tick=0 tx_state=000
1790000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=5a wr2=00 q1=00 q2=00 | rom=e8 tick=0 tx_state=000
1810000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=5b wr2=00 q1=00 q2=00 | rom=e6 tick=0 tx_state=000
1830000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=5c wr2=00 q1=00 q2=00 | rom=e4 tick=1 tx_state=000
1850000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=5d wr2=00 q1=00 q2=00 | rom=e2 tick=0 tx_state=000
1870000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=5e wr2=00 q1=00 q2=00 | rom=e0 tick=0 tx_state=000
1890000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=5f wr2=00 q1=00 q2=00 | rom=de tick=0 tx_state=000
1910000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=60 wr2=00 q1=00 q2=00 | rom=dc tick=1 tx_state=000
1930000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=61 wr2=00 q1=00 q2=00 | rom=da tick=0 tx_state=000
1950000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=62 wr2=00 q1=00 q2=00 | rom=d7 tick=0 tx_state=000
1970000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=63 wr2=00 q1=00 q2=00 | rom=d5 tick=0 tx_state=000
1990000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=64 wr2=00 q1=00 q2=00 | rom=d3 tick=1 tx_state=000
2010000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=65 wr2=00 q1=00 q2=00 | rom=d0 tick=0 tx_state=000
2030000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=66 wr2=00 q1=00 q2=00 | rom=ce tick=0 tx_state=000
2050000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=67 wr2=00 q1=00 q2=00 | rom=cb tick=0 tx_state=000
2070000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=68 wr2=00 q1=00 q2=00 | rom=c9 tick=1 tx_state=000
2090000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=69 wr2=00 q1=00 q2=00 | rom=c6 tick=0 tx_state=000
2110000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=6a wr2=00 q1=00 q2=00 | rom=c4 tick=0 tx_state=000
2130000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=6b wr2=00 q1=00 q2=00 | rom=c1 tick=0 tx_state=000
2150000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=6c wr2=00 q1=00 q2=00 | rom=be tick=1 tx_state=000
2170000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=6d wr2=00 q1=00 q2=00 | rom=bc tick=0 tx_state=000
2190000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=6e wr2=00 q1=00 q2=00 | rom=b9 tick=0 tx_state=000
2210000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=6f wr2=00 q1=00 q2=00 | rom=b6 tick=0 tx_state=000
2230000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=70 wr2=00 q1=00 q2=00 | rom=b3 tick=1 tx_state=000
2250000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=71 wr2=00 q1=00 q2=00 | rom=b0 tick=0 tx_state=000
