idx,time_ns,val,delta,note
365,396790000,62,-3
366,397750000,59,-3
367,398710000,57,-2
368,399670000,54,-3
369,400630000,52,-2
370,401590000,49,-3
371,402550000,47,-2
372,403510000,44,-3
373,404470000,42,-2
374,405430000,40,-2
375,406390000,37,-3
376,407350000,35,-2
377,408310000,33,-2
378,409270000,31,-2
379,410230000,29,-2
380,411190000,27,-2
381,412150000,25,-2
382,413110000,23,-2
383,414070000,21,-2
384,415030000,20,-1
385,415990000,18,-2
386,416950000,17,-1
387,417910000,15,-2
388,418870000,14,-1
389,419830000,12,-2
390,420790000,11,-1
391,421750000,10,-1
392,422710000,9,-1
393,423670000,7,-2
394,424630000,6,-1
395,425590000,5,-1
396,427510000,4,-1
397,428470000,3,-1
398,429430000,2,-1
399,431350000,1,-1
400,434230000,0,-1
401,440950000,1,1
402,443830000,2,1
403,445750000,3,1
404,446710000,4,1
405,447670000,5,1
406,449590000,6,1
407,450550000,7,1
408,451510000,9,2
409,452470000,10,1
410,453430000,11,1
411,454390000,12,1
412,455350000,14,2
413,456310000,15,1
414,457270000,17,2
415,458230000,18,1
416,459190000,20,2
417,460150000,21,1
418,461110000,23,2
419,462070000,25,2
420,463030000,27,2
421,463990000,29,2
422,464950000,31,2
423,465910000,33,2
424,466870000,35,2
425,467830000,37,2
426,468790000,40,3
427,469750000,42,2
428,470710000,44,2
429,471670000,47,3
430,472630000,49,2
431,473590000,52,3
432,474550000,54,2
433,475510000,57,3
434,476470000,59,2
435,477430000,62,3
436,478390000,65,3
437,479350000,67,2
438,480310000,70,3
439,481270000,73,3
440,482230000,76,3
441,483190000,79,3
442,484150000,82,3
443,485110000,85,3
444,486070000,88,3
445,487030000,90,2
446,487990000,93,3
447,488950000,97,4
448,489910000,100,3
449,490870000,103,3
450,491830000,106,3
451,492790000,109,3
452,493750000,112,3
453,494710000,115,3
454,495670000,118,3
455,496630000,115,-3
456,497590000,118,3
457,498550000,121,3
458,499510000,124,3
459,500470000,128,4
460,501430000,131,3
461,502390000,134,3
462,503350000,137,3
463,504310000,140,3
464,505270000,143,3
465,506230000,146,3
466,507190000,149,3
467,508150000,152,3
468,509110000,155,3
469,510070000,158,3
470,511030000,162,4
471,511990000,165,3
472,512950000,167,2
473,513910000,170,3
474,514870000,173,3
475,515830000,176,3
476,516790000,179,3
477,517750000,182,3
478,518710000,185,3
479,519670000,188,3
480,520630000,190,2
481,521590000,193,3
482,522550000,196,3
483,523510000,198,2
484,524470000,201,3
485,525430000,203,2
486,526390000,206,3
487,527350000,208,2
488,528310000,211,3
489,529270000,213,2
490,530230000,215,2
491,531190000,218,3
492,532150000,220,2
493,533110000,222,2
494,534070000,224,2
495,535030000,226,2
496,535990000,228,2
497,536950000,230,2
498,537910000,232,2
499,538870000,234,2
500,539830000,235,1
501,540790000,237,2
502,541750000,238,1
503,542710000,240,2
504,543670000,241,1
505,544630000,243,2
506,545590000,244,1
507,546550000,245,1
508,547510000,246,1
509,548470000,248,2
510,549430000,249,1
511,550390000,250,1
512,552310000,251,1
513,553270000,252,1
514,554230000,253,1
515,556150000,254,1
516,559030000,255,1
517,565750000,254,-1
518,568630000,253,-1
519,570550000,252,-1
520,571510000,251,-1
521,572470000,250,-1
522,574390000,249,-1
523,575350000,248,-1
524,576310000,246,-2
525,577270000,245,-1
526,578230000,244,-1
527,579190000,243,-1
528,580150000,241,-2
529,581110000,240,-1
530,582070000,238,-2
531,583030000,237,-1
532,583990000,235,-2
533,584950000,234,-1
534,585910000,232,-2
