addr ��+1 ������λ��:
  byte 587: addr 243 -> 242 (delta=255, val 88->85)
  byte 588: addr 242 -> 241 (delta=255, val 85->82)
  byte 589: addr 241 -> 240 (delta=255, val 82->79)
  byte 590: addr 240 -> 239 (delta=255, val 79->76)
  byte 591: addr 239 -> 238 (delta=255, val 76->73)
  byte 592: addr 238 -> 237 (delta=255, val 73->70)
  byte 593: addr 237 -> 236 (delta=255, val 70->67)
  byte 594: addr 236 -> 235 (delta=255, val 67->65)
  byte 595: addr 235 -> 234 (delta=255, val 65->62)
  byte 596: addr 234 -> 233 (delta=255, val 62->59)
  byte 597: addr 233 -> 232 (delta=255, val 59->57)
  byte 598: addr 232 -> 231 (delta=255, val 57->54)
  byte 599: addr 231 -> 230 (delta=255, val 54->52)
  byte 600: addr 230 -> 229 (delta=255, val 52->49)
  byte 601: addr 229 -> 228 (delta=255, val 49->47)
  byte 602: addr 228 -> 227 (delta=255, val 47->44)
  byte 603: addr 227 -> 226 (delta=255, val 44->42)
  byte 604: addr 226 -> 225 (delta=255, val 42->40)
  byte 605: addr 225 -> 224 (delta=255, val 40->37)
  byte 606: addr 224 -> 223 (delta=255, val 37->35)
  byte 607: addr 223 -> 222 (delta=255, val 35->33)
  byte 608: addr 222 -> 221 (delta=255, val 33->31)
  byte 609: addr 221 -> 220 (delta=255, val 31->29)
  byte 610: addr 220 -> 219 (delta=255, val 29->27)
  byte 611: addr 219 -> 218 (delta=255, val 27->25)
  byte 612: addr 218 -> 217 (delta=255, val 25->23)
  byte 613: addr 217 -> 216 (delta=255, val 23->21)
  byte 614: addr 216 -> 215 (delta=255, val 21->20)
  byte 615: addr 215 -> 214 (delta=255, val 20->18)
  byte 616: addr 214 -> 213 (delta=255, val 18->17)
  byte 617: addr 213 -> 212 (delta=255, val 17->15)
  byte 618: addr 212 -> 211 (delta=255, val 15->14)
  byte 619: addr 211 -> 210 (delta=255, val 14->12)
  byte 620: addr 210 -> 209 (delta=255, val 12->11)
  byte 621: addr 209 -> 208 (delta=255, val 11->10)
  byte 622: addr 208 -> 207 (delta=255, val 10->9)
  byte 623: addr 207 -> 206 (delta=255, val 9->7)
  byte 624: addr 206 -> 205 (delta=255, val 7->6)
  byte 625: addr 205 -> 204 (delta=255, val 6->5)
  byte 626: addr 204 -> 202 (delta=254, val 5->4)
  byte 627: addr 202 -> 201 (delta=255, val 4->3)
  byte 628: addr 201 -> 200 (delta=255, val 3->2)
  byte 629: addr 200 -> 198 (delta=254, val 2->1)
  byte 630: addr 198 -> 195 (delta=253, val 1->0)
  byte 632: addr 196 -> 199 (delta=3, val 1->2)
  byte 633: addr 199 -> 201 (delta=2, val 2->3)
  byte 636: addr 203 -> 205 (delta=2, val 5->6)
  byte 740: addr 52 -> 54 (delta=2, val 250->251)
  byte 743: addr 56 -> 58 (delta=2, val 253->254)
  byte 744: addr 58 -> 61 (delta=3, val 254->255)
  byte 745: addr 61 -> 60 (delta=255, val 255->254)
  byte 746: addr 60 -> 57 (delta=253, val 254->253)
  byte 747: addr 57 -> 55 (delta=254, val 253->252)
  byte 748: addr 55 -> 54 (delta=255, val 252->251)
  byte 749: addr 54 -> 53 (delta=255, val 251->250)
  byte 750: addr 53 -> 51 (delta=254, val 250->249)
  byte 751: addr 51 -> 50 (delta=255, val 249->248)
  byte 752: addr 50 -> 49 (delta=255, val 248->246)
  byte 753: addr 49 -> 48 (delta=255, val 246->245)
  byte 754: addr 48 -> 47 (delta=255, val 245->244)
  byte 755: addr 47 -> 46 (delta=255, val 244->243)
  byte 756: addr 46 -> 45 (delta=255, val 243->241)
  byte 757: addr 45 -> 44 (delta=255, val 241->240)
  byte 758: addr 44 -> 43 (delta=255, val 240->238)
  byte 759: addr 43 -> 42 (delta=255, val 238->237)
  byte 760: addr 42 -> 41 (delta=255, val 237->235)
  byte 761: addr 41 -> 40 (delta=255, val 235->234)
  byte 762: addr 40 -> 39 (delta=255, val 234->232)
  byte 763: addr 39 -> 38 (delta=255, val 232->230)
  byte 764: addr 38 -> 37 (delta=255, val 230->228)
  byte 765: addr 37 -> 36 (delta=255, val 228->226)
  byte 766: addr 36 -> 35 (delta=255, val 226->224)
  byte 767: addr 35 -> 34 (delta=255, val 224->222)
  byte 768: addr 34 -> 33 (delta=255, val 222->220)
